rank,full_name,url,description,stars,forks,language,created_at,updated_at,last_commit_date,open_issues,topics,license,readme_summary,has_readme,top_contributor,contributor_count,recent_commits,activity_score,id
63,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,Virtual whiteboard for sketching hand-drawn like diagrams,111910,11769,TypeScript,2020-01-02,2025-12-05,2025-12-03,2629,"canvas, collaboration, diagrams",MIT License,"<a href=""https://excalidraw.com/"" target=""_blank"" rel=""noopener""> <picture> <source media=""(prefers-color-scheme: dark)"" alt=""Excalidraw"" srcset=""https://excalidraw.nyc3.cdn.digitaloceanspaces.com/github/excalidraw_github_cover_2_dark.png"" />...",True,dwelle,3,5,90.0,231283452
64,mrdoob/three.js,https://github.com/mrdoob/three.js,JavaScript 3D Library.,109697,36135,JavaScript,2010-03-23,2025-12-06,2025-12-06,605,"3d, augmented-reality, canvas",MIT License,[![NPM Package][npm]][npm-url] [![Build Size][build-size]][build-size-url] [![NPM Downloads][npm-downloads]][npmtrends-url]...,True,mrdoob,3,5,100.0,576201
65,axios/axios,https://github.com/axios/axios,Promise based HTTP client for the browser and node.js,108331,11454,JavaScript,2014-08-18,2025-12-06,2025-12-06,331,"hacktoberfest, http-client, javascript",MIT License,"<h3 align=""center""> 🥇 Gold sponsors <br> </h3> <table align=""center"" width=""100%""><tr width=""33.333333333333336%""><td align=""center"" width=""33.333333333333336%""> <a href=""https://www.principal.com/about-us?utm_source&#x3D;axios&amp;utm_medium&#x3D;sponsorlist&amp;utm_campaign&#x3D;sponsorship"" style=""padding: 10px; display: inline-block"" target=""_blank""> <img width=""133px"" height=""43px"" src=""https...",True,mzabriskie,3,5,100.0,23088740
66,rust-lang/rust,https://github.com/rust-lang/rust,Empowering everyone to build reliable and efficient software.,108291,14084,Rust,2010-06-16,2025-12-06,2025-12-06,11789,"compiler, language, rust",Apache License 2.0,"<div align=""center""> <picture> <source media=""(prefers-color-scheme: dark)"" srcset=""https://raw.githubusercontent.com/rust-lang/www.rust-lang.org/master/static/images/rust-social-wide-dark.svg"">...",True,bors,3,5,85.0,724712
67,microsoft/TypeScript,https://github.com/microsoft/TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,106992,13150,TypeScript,2014-06-17,2025-12-05,2025-12-05,5466,"javascript, language, typechecker",Apache License 2.0,[![CI](https://github.com/microsoft/TypeScript/actions/workflows/ci.yml/badge.svg)](https://github.com/microsoft/TypeScript/actions/workflows/ci.yml) [![npm version](https://badge.fury.io/js/typescript.svg)](https://www.npmjs.com/package/typescript) [![Downloads](https://img.shields.io/npm/dm/typescript.svg)](https://www.npmjs.com/package/typescript)...,True,ahejlsberg,3,5,90.0,20929025
68,denoland/deno,https://github.com/denoland/deno,A modern runtime for JavaScript and TypeScript.,105434,5816,Rust,2018-05-15,2025-12-06,2025-12-06,2517,"deno, javascript, rust",MIT License,[![](https://img.shields.io/crates/v/deno.svg)](https://crates.io/crates/deno) [![Twitter badge][]][Twitter link] [![Bluesky badge][]][Bluesky link] [![Discord badge][]][Discord link] [![YouTube badge][]][YouTube link]...,True,bartlomieju,3,5,90.0,133442384
69,goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,:white_check_mark:  The Node.js best practices list (July 2024),104634,10647,Dockerfile,2017-09-15,2025-04-15,2025-04-15,87,"best-practices, es6, eslint",Creative Commons Attribution Share Alike 4.0 International,"[✔]: assets/images/checkbox-small-blue.png <h1 align=""center""> <img src=""assets/images/banner-2.jpg"" alt=""Node.js Best Practices""/>...",True,goldbergyoni,3,5,75.0,103633984
70,iptv-org/iptv,https://github.com/iptv-org/iptv,Collection of publicly available IPTV channels from all over the world,104606,4687,TypeScript,2018-11-14,2025-12-06,2025-12-06,304,"iptv, m3u, playlist",The Unlicense,Collection of publicly available IPTV (Internet Protocol television) channels from all over the world. - 🚀 [How to use?](#how-to-use) - 📺 [Playlists](#playlists)...,True,freearhey,3,5,100.0,157616880
71,GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,104223,13407,Java,2019-09-05,2024-10-12,2024-10-12,188,,Other,"<p align=""center""> <img width=""200"" src=""content/media/repo_logo.svg""> </p>...",True,GrowingGit,1,5,60.0,206462776
72,facebook/create-react-app,https://github.com/facebook/create-react-app,Set up a modern web app by running one command.,103904,27181,JavaScript,2016-07-17,2025-02-15,2025-02-15,2356,"build-tools, react, zero-configuration",MIT License,> [!CAUTION] > > ## Deprecated...,True,gaearon,3,5,65.0,63537249
73,godotengine/godot,https://github.com/godotengine/godot,Godot Engine – Multi-platform 2D and 3D game engine,103827,23752,C++,2014-01-04,2025-12-05,2025-12-05,16894,"game-development, game-engine, gamedev",MIT License,"<p align=""center""> <a href=""https://godotengine.org""> <img src=""logo_outlined.svg"" width=""400"" alt=""Godot Engine logo"">...",True,akien-mga,3,5,85.0,15634981
74,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",103525,15282,Rust,2020-09-28,2025-12-05,2025-12-05,87,"android, anydesk, dart",GNU Affero General Public License v3.0,"<p align=""center""> <img src=""res/logo-header.svg"" alt=""RustDesk - Your remote desktop""><br> <a href=""#raw-steps-to-build"">Build</a> •...",True,rustdesk,3,5,100.0,299354207
75,microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,"21 Lessons, Get Started Building with Generative AI ",102683,54684,Jupyter Notebook,2023-06-19,2025-12-03,2025-12-03,11,"ai, azure, chatgpt",MIT License,![Generative AI For Beginners](./images/repo-thumbnailv4-fixed.png?WT.mc_id=academic-105485-koreyst) [![GitHub license](https://img.shields.io/github/license/microsoft/Generative-AI-For-Beginners.svg)](https://github.com/microsoft/Generative-AI-For-Beginners/blob/master/LICENSE?WT.mc_id=academic-105485-koreyst) [![GitHub contributors](https://img.shields.io/github/contributors/microsoft/Generative...,True,koreyspace,3,5,100.0,655806940
76,Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,"A collection of various awesome lists for hackers, pentesters and security researchers",102075,9754,未知,2016-03-30,2025-01-18,2025-01-18,29,"android, awesome, bug-bounty",Creative Commons Zero v1.0 Universal,"![Awesome Hacking](awesome_hacking.jpg) **A collection of awesome lists for hackers, pentesters & security researchers.** Your [contributions](contributing.md) are always welcome !...",True,Chan9390,3,5,75.0,55076063
77,fatedier/frp,https://github.com/fatedier/frp,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,101398,14692,Go,2015-12-21,2025-12-05,2025-12-05,44,"expose, firewall, frp",Apache License 2.0,[![Build Status](https://circleci.com/gh/fatedier/frp.svg?style=shield)](https://circleci.com/gh/fatedier/frp) [![GitHub release](https://img.shields.io/github/tag/fatedier/frp.svg?label=release)](https://github.com/fatedier/frp/releases) [![Go Report Card](https://goreportcard.com/badge/github.com/fatedier/frp)](https://goreportcard.com/report/github.com/fatedier/frp)...,True,fatedier,3,5,100.0,48378947
78,shadcn-ui/ui,https://github.com/shadcn-ui/ui,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code.",101325,7353,TypeScript,2023-01-04,2025-12-05,2025-12-05,1679,"components, nextjs, radix-ui",MIT License,"A set of beautifully designed components that you can customize, extend, and build on. Start here then make it your own. Open Source. Open Code. **Use this to build your own component library**. ![hero](apps/v4/public/opengraph-image.png) Visit http://ui.shadcn.com/docs to view the documentation....",True,shadcn,3,5,90.0,585146387
79,microsoft/terminal,https://github.com/microsoft/terminal,"The new Windows Terminal and the original Windows console host, all in the same place!",101030,8951,C++,2017-08-11,2025-12-06,2025-12-05,1675,"cmd, command-line, console",MIT License,![terminal-logos](https://github.com/microsoft/terminal/assets/91625426/333ddc76-8ab2-4eb4-a8c0-4d7b953b1179) [![Terminal Build Status](https://dev.azure.com/shine-oss/terminal/_apis/build/status%2FTerminal%20CI?branchName=main)](https://dev.azure.com/shine-oss/terminal/_build/latest?definitionId=1&branchName=main) <details>...,True,DHowett,3,5,90.0,100060912
80,papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,Papers from the computer science community to read and discuss.,100825,6185,Shell,2013-12-15,2025-10-10,2025-10-10,2,"awesome, computer-science, meetup",无,"﻿## ![Papers We Love](http://paperswelove.org/images/logo-top.svg) [![Discord](https://img.shields.io/static/v1?label=Discord&message=join%20us!&color=mediumslateblue)](https://discord.gg/Tu2VynkRWV) **Papers We Love** (*PWL*) is a community built around reading, discussing and learning more about academic computer science papers. This repository serves as a directory of some of the best papers th...",True,zeeshanlakhani,3,5,80.0,15204860
81,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,,100592,16400,Python,2024-12-26,2025-08-28,2025-08-27,69,,MIT License,<!-- markdownlint-disable first-line-h1 --> <!-- markdownlint-disable html --> <!-- markdownlint-disable no-duplicate-header -->...,True,GeeeekExplorer,3,5,75.0,908531752
82,tauri-apps/tauri,https://github.com/tauri-apps/tauri,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",99650,3212,Rust,2019-07-13,2025-12-05,2025-12-05,1270,"desktop-app, high-performance, mobile-app",Apache License 2.0,"<img src="".github/splash.png"" alt=""Tauri"" /> [![status](https://img.shields.io/badge/status-stable-blue.svg)](https://github.com/tauri-apps/tauri/tree/dev) [![License](https://img.shields.io/badge/License-MIT%20or%20Apache%202-green.svg)](https://opencollective.com/tauri)...",True,lucasfernog,3,5,90.0,196701619
