id,name,type,address,area,business_area,telephone,location,longitude,latitude,distance_from_center(m),rating,cost,open_time,tags,popularity_score,popularity_level,sales_estimate,featured_comment,comment_length,timestamp,has_real_comment
B0FFGJ1S0X,南开大学第一食堂,餐饮服务;中餐厅;中餐厅,海河教育园区同砚路38号南开大学(津南校区),津南区,,18270873399,"117.342336,38.992424",117.342336,38.992424,791.52,4.4,11.00,07:00-20:00,,8.3,受欢迎,中高,,0,2025-12-05 22:14:29,False
B0FFKVYAVZ,南开大学津南校区芸錦拉面,餐饮服务;中餐厅;中餐厅,南开大学商业街文1-103,津南区,,13389991916;15214037085,"117.341858,38.992802",117.341858,38.992802,848.81,4.5,[],10:00-21:00,,9.0,非常受欢迎,高,,0,2025-12-05 22:14:30,False
B0FFGJ1RZ1,大叔食堂(南开大学店),餐饮服务;餐饮相关场所;餐饮相关,海河教育园区同砚路38号南开大学商业街文1-102,津南区,,无,"117.341675,38.992725",117.341675,38.992725,849.93,0.0,,,,0.0,较少人,低,,0,2025-12-05 22:22:11,False
B0JD5M0JNH,文科云锦拉面(南开大学店),餐饮服务;中餐厅;中餐厅,同德路南开大学文科组团清真食堂旁边,津南区,,无,"117.341797,38.992828",117.341797,38.992828,854.03,4.2,[],[],,8.4,受欢迎,中高,,0,2025-12-05 22:14:30,False
B0FFL2QNJA,南开大学津南校区清真餐厅,餐饮服务;中餐厅;清真菜馆,同砚路38号南开大学津南校区,津南区,,无,"117.342180,38.993015",117.34218,38.993015,855.29,4.0,13.00,[],,7.5,受欢迎,中高,,0,2025-12-05 22:14:09,False
B0FFHNHQHX,福莲餐厅(南开大学津南校区店),餐饮服务;中餐厅;中餐厅,同砚路38号南开大学津南校区,津南区,,18920037580,"117.341673,38.992841",117.341673,38.992841,860.91,4.2,37.00,10:00-21:00,,8.4,受欢迎,中高,,0,2025-12-05 22:14:10,False
B0L15SZR4M,一碗情深米粉店,餐饮服务;中餐厅;中餐厅,同德路与同心路交叉口南260米,津南区,,无,"117.341875,38.993325",117.341875,38.993325,898.24,0.2,[],[],,0.4,较少人,低,,0,2025-12-05 22:16:26,False
B0FFHQU48G,元和西饼,餐饮服务;糕饼店;糕饼店,天津市天津市津南区,津南区,,13194651516,"117.342217,38.993483",117.342217,38.993483,899.7,0.0,,,,0.0,较少人,低,,0,2025-12-05 22:22:11,False
B0LBXZCUEE,肯德基车速取餐点(天津南开大学店),餐饮服务;餐饮相关场所;餐饮相关,同砚路38号南开大学商业街(具体商铺坐落文2-108),津南区,,无,"117.341664,38.993347",117.341664,38.993347,909.43,0.0,,,,0.0,较少人,低,,0,2025-12-05 22:22:12,False
B0H26B0P7L,肯德基(天津南开大学店),餐饮服务;快餐厅;肯德基,同砚路38号南开大学商业街(具体商铺坐落文2-108),津南区,,18102060665,"117.341686,38.993362",117.341686,38.993362,909.92,4.2,22.00,07:00-21:00,,7.9,受欢迎,中高,,0,2025-12-05 22:14:31,False
B0JKGD60IK,库迪咖啡(南开大学津南校园店),餐饮服务;咖啡厅;咖啡厅,海河教育园区同砚路38号南开大学商业街文3-111(物美超市东侧),津南区,,13032299352,"117.341946,38.993716",117.341946,38.993716,933.49,0.0,,,,0.0,较少人,低,,0,2025-12-05 22:20:36,False
B0LAJLUWA2,羊小羊火锅外送,餐饮服务;中餐厅;火锅店,鲁能泰山7号B区,津南区,,17822140806,"117.358876,38.985810",117.358876,38.98581,1030.07,3.6,[],08:30-20:30,,7.2,一般,中等,,0,2025-12-05 22:14:31,False
B0K6PHYKCW,云朵餐厅(鲁能泰山7号B区店),餐饮服务;中餐厅;中餐厅,鲁能泰山7号B区西门南60米,津南区,,17263000035,"117.358831,38.985198",117.358831,38.985198,1031.94,4.4,106.00,10:30-14:00 16:30-21:00,,9.8,受欢迎,中高,,0,2025-12-05 22:14:10,False
B0H3JS4IY7,乐滋汉堡炸鸡(鲁能泰山7号店),餐饮服务;快餐厅;快餐厅,鲁能泰山7号B区西门北120米,津南区,,13021087079,"117.358964,38.986482",117.358964,38.986482,1036.54,3.8,[],10:00-20:00,,7.6,一般,中等,,0,2025-12-05 22:14:32,False
B0JGYAYERW,张亮麻辣烫(天津文嘉花园店),餐饮服务;中餐厅;中餐厅,鲁能泰山7号B区西门北150米,津南区,,13302037758,"117.359024,38.986711",117.359024,38.986711,1042.57,4.4,29.00,08:00-21:00,,8.3,受欢迎,中高,,0,2025-12-05 22:14:32,False
B0L16SRF2O,海棠咖啡(仁恒海和院南苑店),餐饮服务;咖啡厅;咖啡厅,海河教育园区泰明路仁恒海和院南苑,津南区,,无,"117.358845,38.984223",117.358845,38.984223,1051.37,4.1,[],08:00-18:00,,8.2,受欢迎,中高,,0,2025-12-05 22:20:36,False
B0IUA73GZJ,米状元过桥米线(龙湖·天宸原著店),餐饮服务;中餐厅;综合酒楼,海河教育园区同砚路21号底商,津南区,,15044562993,"117.358901,38.980894",117.358901,38.980894,1192.58,4.4,50.00,09:00-21:00,,9.8,受欢迎,中高,,0,2025-12-05 22:14:33,False
B0IAXC2CKQ,同砚路悦创沙县小吃(龙湖·天宸原著店),餐饮服务;餐饮相关场所;餐饮相关,咸水沽同砚路23号龙湖天宸原著小区,津南区,,15620824999,"117.358934,38.980878",117.358934,38.980878,1195.94,4.0,22.00,[],,7.5,受欢迎,中高,,0,2025-12-05 22:14:33,False
B0L6K940UU,王中王牛肉板面,餐饮服务;中餐厅;中餐厅,和慧南路与同砚路交口东南角龙湖·天宸原著,津南区,,无,"117.359031,38.980869",117.359031,38.980869,1203.69,4.1,[],[],,8.2,受欢迎,中高,,0,2025-12-05 22:14:33,False
B0KD9CS0KQ,和慧餐厅麻辣烫·拌(牛肉汤·牛肉面店),餐饮服务;中餐厅;中餐厅,和慧南路与同砚路交口东南角,津南区,,无,"117.359464,38.980848",117.359464,38.980848,1237.38,3.8,[],09:00-22:00,,7.6,一般,中等,,0,2025-12-05 22:14:10,False
B0KD9CRSUL,陈记牛肉汤(龙湖·天宸原著店),餐饮服务;中餐厅;中餐厅,和慧南路与同砚路交口东南角,津南区,,19502643628,"117.359491,38.980838",117.359491,38.980838,1239.96,4.0,[],09:00-22:00,,8.0,受欢迎,中高,,0,2025-12-05 22:14:34,False
B0H0JHX82F,程友记黄焖鸡过桥米线(鲁能店),餐饮服务;快餐厅;快餐厅,同声路鲁能泰山7号,津南区,,19902070034,"117.361697,38.986944",117.361697,38.986944,1274.63,3.9,[],09:00-21:00,,7.8,一般,中等,,0,2025-12-05 22:14:35,False
B0I1YZ4PCB,绝味鸭脖(龙湖天宸店),餐饮服务;餐饮相关场所;餐饮相关,和慧南路与同砚路交口东南角龙湖·天宸原著,津南区,,17695619397,"117.360012,38.980818",117.360012,38.980818,1280.49,3.9,[],09:00-21:30,,7.8,一般,中等,,0,2025-12-05 22:14:35,False
B0HKJC31O2,吉祥馄饨(津南海教园店),餐饮服务;快餐厅;快餐厅,海河教育园区同声路57号底商,津南区,,13920765766;17720167510,"117.361850,38.986929",117.36185,38.986929,1287.73,4.2,20.00,08:00-20:00,,7.9,受欢迎,中高,,0,2025-12-05 22:14:35,False
B0HU6A1O63,沙县小吃昭涛餐饮店(鲁能泰山7号B区店),餐饮服务;中餐厅;中餐厅,海河教育园区同声路45号底商,津南区,,15392386741;15945930378,"117.362041,38.986896",117.362041,38.986896,1304.02,3.9,24.00,[],,7.3,一般,中等,,0,2025-12-05 22:14:11,False
B0GRJCNG4N,徽和一品板面牛杂面(龙湖店),餐饮服务;中餐厅;中餐厅,和慧南路与同砚路交口东南角龙湖·天宸原著,津南区,,13523615617,"117.360410,38.980799",117.36041,38.980799,1311.85,4.1,[],[],,8.2,受欢迎,中高,,0,2025-12-05 22:14:36,False
B0H0VS13C3,清真西北郎兰州牛肉拉面(龙湖·天宸原著店),餐饮服务;中餐厅;清真菜馆,海河教育园区同砚路53号底商,津南区,,17841333715,"117.360378,38.980681",117.360378,38.980681,1315.57,4.2,21.00,07:00-23:00,,7.9,受欢迎,中高,,0,2025-12-05 22:14:36,False
B0LR65EZH2,胡记杭州小笼包(龙湖·天宸原著店),餐饮服务;中餐厅;中餐厅,仁恒海和院南苑南门西180米,津南区,,无,"117.360565,38.980904",117.360565,38.980904,1318.39,4.0,[],[],,8.0,受欢迎,中高,,0,2025-12-05 22:14:37,False
B0LRYMUMUV,天津市天润餐饮管理有限责任公司,公司企业;公司;公司,雅深路39号,津南区,,18322712299,"117.331536,38.987119",117.331536,38.987119,1337.53,0.0,[],,,0.0,较少人,低,,0,2025-12-05 22:14:11,False
B0KGR7NNBX,起士林,餐饮服务;糕饼店;糕饼店,文嘉花园26-106底商,津南区,,18822318757,"117.362541,38.986638",117.362541,38.986638,1346.04,0.0,,,,0.0,较少人,低,,0,2025-12-05 22:22:12,False
B0LUZDUIFS,库迪咖啡(南开中学雅润路校区店),餐饮服务;咖啡厅;咖啡厅,文嘉花园底商26-104,津南区,,13821085032,"117.362578,38.986588",117.362578,38.986588,1349.09,4.3,14.00,07:00-21:00,,8.1,受欢迎,中高,,0,2025-12-05 22:20:36,False
B0IK1MFVWN,台峡糕点(雅馨路店),餐饮服务;糕饼店;糕饼店,海河教育园区同声路67号文嘉花园底商26-109,津南区,,16629302929,"117.362929,38.986800",117.362929,38.9868,1380.19,0.0,,,,0.0,较少人,低,,0,2025-12-05 22:22:12,False
B0LGR69NYQ,鸿源香包子铺,餐饮服务;中餐厅;中餐厅,和慧南路与同砚路交口东南角龙湖·天宸原著,津南区,,无,"117.361389,38.980742",117.361389,38.980742,1390.12,3.6,[],[],,7.2,一般,中等,,0,2025-12-05 22:14:37,False
B0K2KAYGIJ,巷子口馒头铺,餐饮服务;餐饮相关场所;餐饮相关,海河教育园区同声路67号文嘉花园26号楼-111,津南区,,无,"117.363072,38.986578",117.363072,38.986578,1391.75,3.9,19.00,[],,7.3,一般,中等,,0,2025-12-05 22:14:38,False
B0H03PPPNY,沪上阿姨鲜果茶(天津和慧南路店),餐饮服务;冷饮店;冷饮店,海河教育园区同砚路85号龙湖天宸底商,津南区,,18222718225,"117.361725,38.980675",117.361725,38.980675,1419.47,3.8,38.00,09:30-22:30,,7.6,一般,中等,,0,2025-12-05 22:19:42,False
B0LUGLMZ1D,壹米大薯条海教园店,餐饮服务;快餐厅;快餐厅,雅馨路57号底商甲区,津南区,,无,"117.363900,38.986714",117.3639,38.986714,1463.71,4.2,[],[],,8.4,受欢迎,中高,,0,2025-12-05 22:14:38,False
B0JG17FK0B,谷状元莲子八宝粥私房菜,餐饮服务;中餐厅;中餐厅,景瑞翰邻小区西门旁(和慧南路地铁站D口步行380米),津南区,,19902159776,"117.363589,38.983229",117.363589,38.983229,1475.77,4.2,26.00,06:00-21:00,,7.9,受欢迎,中高,,0,2025-12-05 22:14:38,False
B0LRJYFU9V,田园炸货铺,餐饮服务;快餐厅;快餐厅,海河教育园区雅居乐御宾府底商55号,津南区,,无,"117.364089,38.986638",117.364089,38.986638,1479.79,3.5,[],09:00-20:00,,7.0,一般,中等,,0,2025-12-05 22:14:39,False
B0JGL7JQTD,刘记晋味园刀削面馆(锦绣大家店),餐饮服务;中餐厅;中餐厅,清兰嘉苑配建3-5-101,津南区,,15581938957,"117.361943,38.993928",117.361943,38.993928,1547.84,4.1,[],10:00-22:00,,8.2,受欢迎,中高,,0,2025-12-05 22:14:39,False
B0J0KC7QFY,黄河湾面馆(锦绣大家店),餐饮服务;餐饮相关场所;餐饮相关,中海南开郡北门旁,津南区,,15822357003,"117.362090,38.993921",117.36209,38.993921,1558.05,4.5,21.00,08:45-23:45,,8.5,非常受欢迎,高,,0,2025-12-05 22:14:40,False
B0KD14WOEY,金陵小笼包(锦绣大家店),餐饮服务;中餐厅;中餐厅,天津市锦绣大家,津南区,,15122908502,"117.362136,38.993885",117.362136,38.993885,1559.21,4.3,12.00,05:00-20:00,,8.1,受欢迎,中高,,0,2025-12-05 22:14:40,False
B0LG0S2LNN,锦绣大家鹿盟板面,餐饮服务;中餐厅;中餐厅,锦绣大家,津南区,,无,"117.362194,38.993882",117.362194,38.993882,1563.24,4.1,[],08:00-22:00,,8.2,受欢迎,中高,,0,2025-12-05 22:14:41,False
B0JUKC3JYQ,小禾饺子馆(锦绣大家店),餐饮服务;中餐厅;综合酒楼,锦绣大家南门旁,津南区,,13596706656,"117.362360,38.993899",117.36236,38.993899,1576.35,4.1,[],09:00-21:00,,8.2,受欢迎,中高,,0,2025-12-05 22:14:41,False
B0KBJH2C0L,嘉吃饭汇嘉社区食堂(海棠店),餐饮服务;中餐厅;中餐厅,旭辉天悦风华(和慧南路地铁站D口步行370米),津南区,,无,"117.363739,38.980486",117.363739,38.980486,1586.12,4.5,[],[],,9.0,非常受欢迎,高,,0,2025-12-05 22:14:20,False
B0KDFZ3QP7,吉咖啡,餐饮服务;咖啡厅;咖啡厅,中海南开郡东门旁,津南区,,15332020889,"117.363975,38.991908",117.363975,38.991908,1596.82,3.7,27.00,[],,6.9,一般,中等,,0,2025-12-05 22:20:37,False
B0LGPZHXW1,纳瓦新疆美食,餐饮服务;中餐厅;中餐厅,天津海河教育园区和慧路与同德路交口东南侧1-101二层,津南区,,13079975663,"117.363764,38.993155",117.363764,38.993155,1639.85,3.9,[],[],,7.8,一般,中等,,0,2025-12-05 22:14:41,False
B0LU27OY6D,鹿盟板面牛杂面(四季春晓店),餐饮服务;餐饮相关场所;餐饮相关,吉明路2号君诚雅苑配建2-134(和慧南路与同砚路交口),津南区,,无,"117.362294,38.976471",117.362294,38.976471,1716.0,4.2,[],10:00-21:00,,8.4,受欢迎,中高,,0,2025-12-05 22:14:42,False
B0LG5U2X47,炼字咖啡,餐饮服务;咖啡厅;咖啡厅,君诚雅苑配建二229,津南区,,18526390088,"117.362179,38.976255",117.362179,38.976255,1723.79,3.7,[],08:00-19:00,,7.4,一般,中等,,0,2025-12-05 22:20:37,False
B0LDL6MXMO,津味轩卤味熟食(四季春晓),餐饮服务;餐饮相关场所;餐饮相关,海河教育园区吉明路2号君诚雅苑配建二-131底商,津南区,,18702259333,"117.362303,38.976306",117.362303,38.976306,1728.33,0.0,,,,0.0,较少人,低,,0,2025-12-05 22:22:13,False
B0LU1GEDQM,兰州牛肉面,餐饮服务;中餐厅;清真菜馆,四季春晓北区东门南50米,津南区,,无,"117.362275,38.976275",117.362275,38.976275,1728.69,4.2,[],[],,8.4,受欢迎,中高,,0,2025-12-05 22:14:42,False
B0LDZ9MKVT,新疆艾则孜烧烤,餐饮服务;中餐厅;特色/地方风味餐厅,四季春晓北区东门南70米,津南区,,13040490777,"117.362275,38.976125",117.362275,38.976125,1739.48,4.2,[],[],,8.4,受欢迎,中高,,0,2025-12-05 22:14:43,False
B0LABX203D,津门好邻居烧饼里脊,餐饮服务;餐饮相关场所;餐饮相关,吉明路2号君诚雅苑配建2-124号(明诚中旭幼儿园西门对面),津南区,,13651278757,"117.362261,38.976096",117.362261,38.976096,1740.66,4.0,[],[],,8.0,受欢迎,中高,,0,2025-12-05 22:14:43,False
B0LAFSJPGP,包万岁张记包子铺,餐饮服务;中餐厅;中餐厅,海河教育园吉明路2号君诚雅苑配建二-129,津南区,,13522432112,"117.362263,38.976076",117.362263,38.976076,1742.24,4.0,20.00,06:00-21:00,,7.5,受欢迎,中高,,0,2025-12-05 22:14:44,False
B0L1PR76FL,石汇酱货铺,购物服务;综合市场;农副产品市场|餐饮服务;餐饮相关场所;餐饮相关,"海河教育园区吉明路2号,君诚雅苑配建二-123",津南区,,13473550234,"117.362254,38.976024",117.362254,38.976024,1745.42,0.0,,,,0.0,较少人,低,,0,2025-12-05 22:22:13,False
B0LAK7LO2W,许愿私语蛋糕店,餐饮服务;糕饼店;糕饼店,龙湖天璞,津南区,,15963497853,"117.359975,38.974025",117.359975,38.974025,1766.82,0.0,,,,0.0,较少人,低,,0,2025-12-05 22:22:13,False
B0LRYYUME4,万利盛快餐厅(海教园店),餐饮服务;快餐厅;快餐厅,雅馨路与福明路交叉口西南40米,津南区,,无,"117.362247,38.975539",117.362247,38.975539,1780.7,4.1,[],[],,8.2,受欢迎,中高,,0,2025-12-05 22:14:15,False
B0LDR5DQJO,吕记晋味园面馆,餐饮服务;中餐厅;中餐厅,海河教育园区雅馨路与嘉明路交口西南侧君诚雅苑配建二-101,津南区,,17629292068,"117.362152,38.975057",117.362152,38.975057,1811.15,3.7,[],[],,7.4,一般,中等,,0,2025-12-05 22:14:44,False
B0GK9DP6CE,品炙和牛烤肉·品炙咖啡(金才园店)(暂停营业),餐饮服务;外国餐厅;日本料理|餐饮服务;咖啡厅;咖啡厅,咸水沽镇海棠众创大街A区中科国际科创园8号底商,津南区,,022-28546699;18920579799,"117.367661,38.983221",117.367661,38.983221,1820.24,4.2,115.00,09:30-21:30,,9.4,受欢迎,中高,,0,2025-12-05 22:19:27,False
B0HKKZHKST,面道西北品质牛肉面(同德路店),餐饮服务;中餐厅;清真菜馆,雅润路金益园25号楼,津南区,,无,"117.365906,38.993550",117.365906,38.99355,1824.74,4.2,[],09:00-21:00,,8.4,受欢迎,中高,,0,2025-12-05 22:14:44,False
B0LD9N1XHK,山西刀削面,餐饮服务;中餐厅;中餐厅,四季春晓北区东门南240米,津南区,,无,"117.362225,38.974925",117.362225,38.974925,1825.85,2.6,[],[],,5.2,较少人,低,,0,2025-12-05 22:16:27,False
B0LRBSNTCX,好适口(龙湖天璞店),餐饮服务;中餐厅;中餐厅,海河教育园区和慧南路265号明尚花园配建一-11(一层),津南区,,18813070848,"117.361422,38.973911",117.361422,38.973911,1858.27,4.2,[],[],,8.4,受欢迎,中高,,0,2025-12-05 22:14:45,False
B0LAOLPCGN,海棠海鲜烧烤大排档,餐饮服务;餐饮相关场所;餐饮相关,咸水沽镇金浩园西门旁,津南区,,13034355555,"117.368285,38.988672",117.368285,38.988672,1860.92,3.7,29.00,[],,6.9,一般,中等,,0,2025-12-05 22:14:45,False
B0KRYXXI24,意式酒肆-直营二店,购物服务;专卖店;烟酒专卖店,咸水沽镇金才园47号楼负一层B区,津南区,,15500684435,"117.367679,38.981625",117.367679,38.981625,1863.16,0.0,,,,0.0,较少人,低,,0,2025-12-05 22:21:56,False
B0JDVCXHA5,乐享野趣露营烧烤,体育休闲服务;休闲场所;休闲场所,雅润路与津南大道交叉口东北120米,津南区,,022-28565858;15922155999,"117.367745,38.981779",117.367745,38.981779,1863.96,4.6,[],,,9.2,非常受欢迎,高,,0,2025-12-05 22:14:46,False
B0L115KRNI,尔津炙串东北烧烤,餐饮服务;中餐厅;特色/地方风味餐厅,海河教育园区吉明路2号君诚雅苑配建一101,津南区,,无,"117.362165,38.974370",117.362165,38.97437,1865.43,3.9,[],10:00-02:00,,7.8,一般,中等,,0,2025-12-05 22:14:46,False
B0KGJZ12KW,叁肆社区食堂(金浩园店),餐饮服务;中餐厅;中餐厅,创业大街c区1-1,津南区,,18167356789;18649004565,"117.368336,38.988759",117.368336,38.988759,1866.68,3.9,24.00,06:00-20:00,,7.3,一般,中等,,0,2025-12-05 22:14:46,False
B0LAA5MNIM,百谷香莲子八宝粥(龙湖店),餐饮服务;餐饮相关场所;餐饮相关,海河教育园区龙湖天璞营销中心配建一9号,津南区,,无,"117.361616,38.973875",117.361616,38.973875,1872.53,4.0,[],06:00-21:00,,8.0,受欢迎,中高,,0,2025-12-05 22:14:47,False
B0L1XCSAOG,艾宁宁非遗炸肉(龙湖天璞店),餐饮服务;餐饮相关场所;餐饮相关,龙湖天璞,津南区,,无,"117.361649,38.973891",117.361649,38.973891,1873.15,3.5,[],[],,7.0,一般,中等,,0,2025-12-05 22:16:27,False
B0JDTX4DUC,希尔顿欢朋酒店欢朋餐厅,餐饮服务;中餐厅;中餐厅,雅润路与津南大道交叉口东北100米,津南区,,无,"117.367927,38.981522",117.367927,38.981522,1886.94,4.3,82.00,[],,9.6,受欢迎,中高,,0,2025-12-05 22:14:12,False
B0LA7XZ7BM,天津果燃好冰糖葫芦,餐饮服务;餐饮相关场所;餐饮相关,天津海河教育园区和慧南路265号明尚花园配建一-3,津南区,,13552906007;13910141911,"117.361912,38.973904",117.361912,38.973904,1887.56,3.8,[],09:00-21:00,,7.6,一般,中等,,0,2025-12-05 22:14:47,False
B0LDUNGXL0,老董猪头肉,餐饮服务;中餐厅;中餐厅,龙湖天璞西北门东270米,津南区,,无,"117.361898,38.973866",117.361898,38.973866,1889.82,3.3,[],[],,6.6,较少人,低,,0,2025-12-05 22:15:42,False
B0LUAUJ697,麦唯粮品烘焙,餐饮服务;糕饼店;糕饼店,海教园区雅馨路吉明路交汇处龙湖天璞底商1号,津南区,,15303793730,"117.362208,38.973970",117.362208,38.97397,1899.86,0.0,,,,0.0,较少人,低,,0,2025-12-05 22:22:14,False
B0LRKCIONP,库迪咖啡(津南人力资源产业园店),餐饮服务;咖啡厅;咖啡厅,雅润路与瑞明路交叉口东南60米,津南区,,13516209425,"117.368521,38.989702",117.368521,38.989702,1900.64,4.1,14.00,[],,7.7,受欢迎,中高,,0,2025-12-05 22:20:38,False
B0L14H1U37,有有烘焙,餐饮服务;糕饼店;糕饼店,文德花园底商东侧,津南区,,17320221888,"117.367812,38.993411",117.367812,38.993411,1967.53,0.0,,,,0.0,较少人,低,,0,2025-12-05 22:22:14,False
B0L2BLLUQR,壹米大薯条(海河教育园店),餐饮服务;快餐厅;快餐厅,金浩园,津南区,,无,"117.369088,38.990791",117.369088,38.990791,1975.84,3.5,[],[],,7.0,一般,中等,,0,2025-12-05 22:16:18,False
B0LUFLS0LZ,怡真茶事,餐饮服务;茶艺馆;茶艺馆,金浩园,津南区,,无,"117.369775,38.988175",117.369775,38.988175,1981.86,0.0,,,,0.0,较少人,低,,0,2025-12-05 22:21:28,False
B0KDH7LITD,伊兰源兰州牛肉拉面(龙湖樘樾店),餐饮服务;中餐厅;清真菜馆,海河教育园区樘樾伊轩源牛肉拉,津南区,,19239726672,"117.362552,38.972763",117.362552,38.972763,2018.49,4.0,[],08:00-21:30,,8.0,受欢迎,中高,,0,2025-12-05 22:14:48,False
B0KR1GPIIW,麦当劳(天津雅润路IS餐厅),餐饮服务;快餐厅;麦当劳,雅润路与同德路交叉口东北20米途客中国一楼,津南区,,无,"117.369115,38.993315",117.369115,38.993315,2067.05,4.6,29.00,06:30-23:00,,8.7,非常受欢迎,高,,0,2025-12-05 22:14:48,False
B0FFKY9ZSB,沙县小吃(金益园店),餐饮服务;中餐厅;中餐厅,同德路417号,津南区,,18522152936,"117.368978,38.994133",117.368978,38.994133,2092.35,4.2,25.00,08:00-22:00,,7.9,受欢迎,中高,,0,2025-12-05 22:14:49,False
B0IATO56HT,老津味石磨煎饼(金才园店),餐饮服务;餐饮相关场所;餐饮相关,雅润路金才园(咸水沽西地铁站A口步行220米),津南区,,无,"117.370213,38.980906",117.370213,38.980906,2095.85,3.6,[],[],,7.2,一般,中等,,0,2025-12-05 22:14:49,False
B0J1R7SAM0,津沽福宴酥皮烤鸭店,餐饮服务;餐饮相关场所;餐饮相关,金益园西门底商24-8,津南区,,022-28399988,"117.369080,38.994690",117.36908,38.99469,2126.83,4.6,98.00,10:00-14:00 16:30-21:00,,10.2,非常受欢迎,高,,0,2025-12-05 22:14:50,False
B0JAHUB2CY,杰克安格斯手作牛肉汉堡,餐饮服务;快餐厅;快餐厅,丰泽四大道2号,津南区,,18630950563,"117.324135,38.978527",117.324135,38.978527,2154.41,3.7,[],[],,7.4,一般,中等,,0,2025-12-05 22:14:50,False
B0FFJAOYIE,盛合酒店(金益园店),餐饮服务;中餐厅;中餐厅,金益园西2门旁,津南区,,13389981518,"117.369127,38.995315",117.369127,38.995315,2161.86,4.4,70.00,09:00-14:00 16:30-21:00,,9.8,受欢迎,中高,,0,2025-12-05 22:14:50,False
B0FFJ0Z3DV,泰福隆包子铺(金益园店),餐饮服务;餐饮相关场所;餐饮相关,雅润路金益园底商25-3号,津南区,,13516231365;13752108156,"117.369134,38.995471",117.369134,38.995471,2170.5,4.3,21.00,06:00-14:00,,8.1,受欢迎,中高,,0,2025-12-05 22:14:51,False
B0I259EYJY,朋友圈火锅鸡(金益园店),餐饮服务;中餐厅;火锅店,雅润路与韩城桥路交叉口南180米,津南区,,13642085140,"117.369137,38.995493",117.369137,38.995493,2171.88,4.2,49.00,10:00-22:00,,8.4,受欢迎,中高,,0,2025-12-05 22:14:51,False
B0FFJD4365,泰福春一锅出(金益园店),餐饮服务;中餐厅;中餐厅,金益园西门25-6,津南区,,无,"117.369147,38.995674",117.369147,38.995674,2182.2,4.0,[],[],,8.0,受欢迎,中高,,0,2025-12-05 22:14:52,False
B0J027D9AZ,烧烤早点(金益园店),餐饮服务;中餐厅;特色/地方风味餐厅,金益园西北3门南60米,津南区,,无,"117.369145,38.995710",117.369145,38.99571,2183.97,3.5,[],[],,7.0,一般,中等,,0,2025-12-05 22:15:42,False
